zipcode,Period,Region,MSP
91932,2012-Q1,Egger Highlands,260667.0
91932,2012-Q2,Egger Highlands,264333.0
91932,2012-Q3,Egger Highlands,249667.0
91932,2012-Q4,Egger Highlands,271667.0
91932,2013-Q1,Egger Highlands,282333.0
91932,2013-Q2,Egger Highlands,291667.0
91932,2013-Q3,Egger Highlands,334667.0
91932,2013-Q4,Egger Highlands,334333.0
91932,2014-Q1,Egger Highlands,315667.0
91932,2014-Q2,Egger Highlands,342667.0
91932,2014-Q3,Egger Highlands,341667.0
91932,2014-Q4,Egger Highlands,356667.0
91932,2015-Q1,Egger Highlands,376000.0
91932,2015-Q2,Egger Highlands,391667.0
91932,2015-Q3,Egger Highlands,395333.0
91932,2015-Q4,Egger Highlands,378667.0
91932,2016-Q1,Egger Highlands,414000.0
91932,2016-Q2,Egger Highlands,413667.0
91932,2016-Q3,Egger Highlands,423333.0
91932,2016-Q4,Egger Highlands,442333.0
91932,2017-Q1,Egger Highlands,434667.0
91932,2017-Q2,Egger Highlands,449667.0
91932,2017-Q3,Egger Highlands,450000.0
91932,2017-Q4,Egger Highlands,460667.0
91932,2018-Q1,Egger Highlands,475333.0
91932,2018-Q2,Egger Highlands,485000.0
92014,2012-Q1,Del Mar Heights,801333.0
92014,2012-Q2,Del Mar Heights,931333.0
92014,2012-Q3,Del Mar Heights,922000.0
92014,2012-Q4,Del Mar Heights,813333.0
92014,2013-Q1,Del Mar Heights,851333.0
92014,2013-Q2,Del Mar Heights,1049333.0
92014,2013-Q3,Del Mar Heights,1087333.0
92014,2013-Q4,Del Mar Heights,1038667.0
92014,2014-Q1,Del Mar Heights,1283333.0
92014,2014-Q2,Del Mar Heights,1230000.0
92014,2014-Q3,Del Mar Heights,1063667.0
92014,2014-Q4,Del Mar Heights,1032667.0
92014,2015-Q1,Del Mar Heights,1336000.0
92014,2015-Q2,Del Mar Heights,1177667.0
92014,2015-Q3,Del Mar Heights,1072667.0
92014,2015-Q4,Del Mar Heights,1198000.0
92014,2016-Q1,Del Mar Heights,1167333.0
92014,2016-Q2,Del Mar Heights,1256000.0
92014,2016-Q3,Del Mar Heights,1212667.0
92014,2016-Q4,Del Mar Heights,1483333.0
92014,2017-Q1,Del Mar Heights,1299333.0
92014,2017-Q2,Del Mar Heights,1361000.0
92014,2017-Q3,Del Mar Heights,1398333.0
92014,2017-Q4,Del Mar Heights,1310000.0
92014,2018-Q1,Del Mar Heights,1466333.0
92014,2018-Q2,Del Mar Heights,1275000.0
92025,2012-Q1,San Pasqual,579333.0
92025,2012-Q2,San Pasqual,657667.0
92025,2012-Q3,San Pasqual,508333.0
92025,2012-Q4,San Pasqual,625000.0
92025,2013-Q1,San Pasqual,606000.0
92025,2013-Q2,San Pasqual,557000.0
92025,2013-Q3,San Pasqual,611333.0
92025,2013-Q4,San Pasqual,615000.0
92025,2014-Q1,San Pasqual,657667.0
92025,2014-Q2,San Pasqual,588000.0
92025,2014-Q3,San Pasqual,575667.0
92025,2014-Q4,San Pasqual,560000.0
92025,2015-Q1,San Pasqual,531333.0
92025,2015-Q2,San Pasqual,660667.0
